OBJECTID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, Not Hispanic or Latino Population","White alone, Not Hispanic or Latino Population - Margin of Error","Black or African American alone, Not Hispanic or Latino Population","Black or African American alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino Population","American Indian and Alaska Native alone, Not Hispanic or Latino Population - Margin of Error","Asian alone, Not Hispanic or Latino Population","Asian alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race alone, Not Hispanic or Latino Population","Some Other Race alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, Non-Hispanic","Percent of Population that is White alone, Non-Hispanic - Margin of Error","Percent of Population that is Black or African American alone, Non-Hispanic","Percent of Population that is Black or African American alone, Non-Hispanic - Margin of Error","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic - Margin of Error","Percent of Population that is Asian alone, Non-Hispanic","Percent of Population that is Asian alone, Non-Hispanic - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic - Margin of Error","Percent of Population that is Some Other Race alone, Non-Hispanic","Percent of Population that is Some Other Race alone, Non-Hispanic - Margin of Error","Percent of Population that is 2 or More Races, Non-Hispanic","Percent of Population that is 2 or More Races, Non-Hispanic - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape_Length,Shape_Area
1,01003011000,130503901,720539,Census Tract 110,Alabama,Baldwin County,4921,700,3677,527,108,98,0,12,0,12,0,12,0,12,47,46,1089,639,74.7,1.309704247,2.2,1.96684331,0,0.243852875,0,0.243852875,0,0.243852875,0,0.243852875,1,0.92484378,22.1,12.59783041,76676.35356,177085971.3
2,01003011102,45245121,812152,Census Tract 111.02,Alabama,Baldwin County,5231,911,4457,914,471,443,7,12,0,17,0,17,0,17,69,107,227,213,85.2,9.225758362,9,8.32230329,0.1,0.228214804,0,0.324985662,0,0.324985662,0,0.324985662,1.3,2.032557736,4.3,4.001131196,46409.51526,61307519.34
3,01003011201,12315478,1296975,Census Tract 112.01,Alabama,Baldwin County,4348,724,3960,813,2,4,0,12,365,372,0,12,0,12,19,35,2,4,91.1,10.93775177,0,0.091676921,0,0.27598896,8.4,8.440697199,0,0.27598896,0,0.27598896,0.4,0.801672406,0,0.091676921,21810.1794,16678444.66
4,01003011202,13487064,2596328,Census Tract 112.02,Alabama,Baldwin County,5462,849,4529,772,886,328,13,22,0,17,0,17,0,17,0,17,34,44,82.9,5.801185543,16.2,5.450155355,0.2,0.401080261,0,0.311241304,0,0.311241304,0,0.311241304,0,0.311241304,0.6,0.799733823,22122.68578,18340926.95
5,01003011300,65679503,12647453,Census Tract 113,Alabama,Baldwin County,5599,967,5115,995,313,246,0,17,19,34,0,17,0,17,66,82,86,120,91.4,8.177110156,5.6,4.286246334,0,0.303625647,0.3,0.604416414,0,0.303625647,0,0.303625647,1.2,1.450327915,1.5,2.126758991,66163.97326,89032583.97
6,01003011501,38613703,88307,Census Tract 115.01,Alabama,Baldwin County,7122,981,5546,657,260,132,0,17,108,129,0,17,401,579,102,116,705,466,77.9,14.1474492,3.7,1.783894006,0,0.238696995,1.5,1.799204955,0,0.238696995,5.6,8.092661908,1.4,1.616765226,9.9,6.399461724,32602.53421,52227811.12
7,01003011601,234596822,12065537,Census Tract 116.01,Alabama,Baldwin County,5415,776,5184,764,49,43,21,19,5,12,0,17,0,17,67,84,89,80,95.7,3.293225892,0.9,0.783430751,0.4,0.346447916,0.1,0.221211241,0,0.313942752,0,0.313942752,1.2,1.541079512,1.6,1.458481458,168629.325,317172163.6
8,01097006600,104094994,34410776,Census Tract 66,Alabama,Mobile County,5389,907,4553,732,516,493,98,147,20,34,0,17,0,17,130,142,72,108,84.5,19.66474349,9.6,9.005203865,1.8,2.710553451,0.4,0.627815201,0,0.315457413,0,0.315457413,2.4,2.603529926,1.3,1.991427025,139658.4736,140782112.8
9,01097006702,44701147,78388,Census Tract 67.02,Alabama,Mobile County,4210,700,2887,584,552,258,1,4,509,263,0,12,0,12,125,129,136,216,68.6,7.900610191,13.1,5.727380285,0,0.094929757,12.1,5.914749421,0,0.285035629,0,0.285035629,3,3.024102028,3.2,5.102448497,37149.9978,60526494.61
10,01097007101,15048863,5151,Census Tract 71.01,Alabama,Mobile County,4623,600,3719,444,723,299,0,12,33,45,0,12,0,12,76,87,72,89,80.4,14.18619,15.6,6.140910166,0,0.259571707,0.7,0.968975113,0,0.259571707,0,0.259571707,1.6,1.869760673,1.6,1.914515941,19993.09095,20364738.6
11,01097007102,33269960,778940,Census Tract 71.02,Alabama,Mobile County,2896,659,1128,366,1607,558,44,129,60,76,0,12,0,12,37,71,20,33,39,9.009068982,55.5,14.55369567,1.5,4.440982455,2.1,2.581613968,0,0.414364641,0,0.414364641,1.3,2.434358292,0.7,1.128614185,32074.77903,45885664.76
12,01097007103,47845775,7049108,Census Tract 71.03,Alabama,Mobile County,3680,709,3091,615,419,369,18,30,9,15,0,12,0,12,54,52,89,109,84,4.172694097,11.4,9.784282117,0.5,0.809752256,0.2,0.404876128,0,0.326086957,0,0.326086957,1.5,1.384473096,2.4,2.92507705,110591.7321,64922197.21
13,01097007201,44250274,646269,Census Tract 72.01,Alabama,Mobile County,2657,558,2332,472,0,12,0,12,179,194,0,12,0,12,0,12,146,171,87.8,25.59928929,0,0.451637185,0,0.451637185,6.7,7.163078227,0,0.451637185,0,0.451637185,0,0.451637185,5.5,6.331524438,46443.08885,59859678.81
14,01097007300,90387207,12559852,Census Tract 73,Alabama,Mobile County,4080,594,3269,569,165,95,5,9,393,194,0,12,18,30,75,50,155,126,80.1,7.643507015,4,2.252761757,0.1,0.219865512,9.6,4.543400351,0,0.294117647,0.4,0.732483401,1.8,1.195910887,3.8,3.03830312,110395.2819,121964455.9
15,01001020100,9825304,28435,Census Tract 201,Alabama,Autauga County,1941,390,1504,351,235,151,0,12,41,54,0,12,0,12,128,99,33,34,77.5,9.198755993,12.1,7.389364644,0,0.618238022,2.1,2.749506495,0,0.618238022,0,0.618238022,6.6,4.925347,1.7,1.718041751,19586.2482,13845443.28
16,01001020200,3320818,5669,Census Tract 202,Alabama,Autauga County,1757,310,641,84,1026,298,0,12,0,12,0,12,14,19,46,54,30,38,36.5,8.018126617,58.4,13.47269859,0,0.682982356,0,0.682982356,0,0.682982356,0.8,1.072211167,2.6,3.038508687,1.7,2.141693166,11647.85957,4679270.585
17,01001020300,5349271,9054,Census Tract 203,Alabama,Autauga County,3694,570,2363,362,1042,499,0,12,44,42,0,12,0,12,65,85,180,207,64,13.9090954,28.2,12.78794449,0,0.32485111,1.2,1.122025121,0,0.32485111,0,0.32485111,1.8,2.284953491,4.9,5.553009213,12474.64871,7550452.138
18,01001020400,6384282,8408,Census Tract 204,Alabama,Autauga County,3539,500,3085,468,309,242,10,17,17,21,0,12,0,12,101,103,17,27,87.2,4.816246213,8.7,6.725901649,0.3,0.478699913,0.5,0.589494158,0,0.339078836,0,0.339078836,2.9,2.882361168,0.5,0.759902807,14839.59596,9007291.841
19,01001020600,8041611,59779,Census Tract 206,Alabama,Autauga County,3536,382,2551,341,716,241,0,12,11,23,0,12,25,41,47,67,186,194,72.1,5.679519763,20.2,6.455022166,0,0.339366516,0.3,0.649583713,0,0.339366516,0.7,1.156983843,1.3,1.889347519,5.3,5.456916398,17102.50814,11330465.89
20,01001020700,22411848,772012,Census Tract 207,Alabama,Autauga County,3562,517,2553,374,721,314,32,50,0,12,0,12,0,12,86,94,170,157,71.7,1.422751807,20.2,8.311301412,0.9,1.397636475,0,0.336889388,0,0.336889388,0,0.336889388,2.4,2.615596497,4.8,4.352862159,30420.38774,31631559.38
21,01001020801,124272664,8117631,Census Tract 208.01,Alabama,Autauga County,3073,337,2722,357,316,269,0,12,0,12,0,12,0,12,0,12,35,40,88.6,6.372001454,10.3,8.680718993,0,0.390497885,0,0.390497885,0,0.390497885,0,0.390497885,0,0.390497885,1.1,1.295653117,101428.2099,180708614.9
22,01001021000,386865283,1575402,Census Tract 210,Alabama,Autauga County,2904,479,2263,484,529,148,0,12,0,12,0,12,0,12,79,116,33,41,77.9,10.60948517,18.2,4.116478229,0,0.41322314,0,0.41322314,0,0.41322314,0,0.41322314,2.7,3.969207627,1.1,1.399348273,131232.0761,548608852.1
23,01001021100,478151753,13897907,Census Tract 211,Alabama,Autauga County,3497,534,1511,248,1888,507,36,62,12,23,0,12,0,12,11,21,39,64,43.2,2.599902561,54,11.92594577,1,1.765965354,0.3,0.655615909,0,0.343151273,0,0.343151273,0.3,0.598590625,1.1,1.822199434,272886.1088,676822729.6
24,01003010100,971527026,37552076,Census Tract 101,Alabama,Baldwin County,3266,621,2393,477,693,364,159,146,0,12,0,12,16,26,5,7,0,12,73.3,4.383643587,21.2,10.38925228,4.9,4.373410225,0,0.367421923,0,0.367421923,0.5,0.790612367,0.2,0.212343528,0,0.367421923,653747.1164,1345892553
25,01003010200,221797187,358878,Census Tract 102,Alabama,Baldwin County,2916,526,2518,498,211,128,80,118,20,37,0,12,0,12,87,115,0,12,86.4,7.002931599,7.2,4.191025323,2.7,4.016264679,0.7,1.262815385,0,0.411522634,0,0.411522634,3,3.90686457,0,0.411522634,88379.03532,302914479.9
26,01003010300,343037976,23132689,Census Tract 103,Alabama,Baldwin County,8627,1163,6606,1033,1170,552,228,163,0,17,0,17,0,17,451,433,172,178,76.6,6.067679783,13.6,6.13174955,2.6,1.855521194,0,0.197055755,0,0.197055755,0,0.197055755,5.2,4.969401336,2,2.04570877,486683.6059,467745773.1
27,01003010500,17424883,143767,Census Tract 105,Alabama,Baldwin County,5889,726,5021,744,766,381,16,32,6,10,0,17,0,17,54,65,26,51,85.3,7.009280446,13,6.267815334,0.3,0.542352685,0.1,0.169342942,0,0.288673799,0,0.288673799,0.9,1.097948643,0.4,0.864309314,26735.7947,23936652.49
28,01003010600,18578278,21477,Census Tract 106,Alabama,Baldwin County,4115,617,1400,516,2329,550,19,30,0,12,0,12,0,12,62,64,305,354,34,11.45497358,56.6,10.32602137,0.5,0.725745524,0,0.291616039,0,0.291616039,0,0.291616039,1.5,1.538790883,7.4,8.530587196,30621.80732,25316000.56
29,01003010704,8412809,210501,Census Tract 107.04,Alabama,Baldwin County,6106,870,5125,764,756,625,0,17,43,55,0,17,0,17,132,131,50,81,83.9,3.679195287,12.4,10.0826673,0,0.278414674,0.7,0.895147192,0,0.278414674,0,0.278414674,2.2,2.123204272,0.8,1.321423179,19605.36656,11627519.16
30,01005950100,485234140,29054936,Census Tract 9501,Alabama,Barbour County,2725,337,1203,186,1428,320,0,12,65,61,0,12,29,37,0,12,0,12,44.1,4.096651504,52.4,9.792893499,0,0.440366972,2.4,2.219010078,0,0.440366972,1.1,1.351404524,0,0.440366972,0,0.440366972,301662.7933,678593699.9
31,01005950200,517006044,983621,Census Tract 9502,Alabama,Barbour County,4197,411,1445,262,2634,358,12,17,0,12,0,12,0,12,40,35,66,41,34.4,5.253762682,62.8,5.915079178,0.3,0.404082347,0,0.285918513,0,0.285918513,0,0.285918513,1,0.828689917,1.6,0.964674074,143647.9375,721137503.7
32,01005950300,352796712,499970,Census Tract 9503,Alabama,Barbour County,1584,275,760,196,775,205,0,12,0,12,1,2,0,12,29,38,19,32,48,9.150047801,48.9,9.764288023,0,0.757575758,0,0.757575758,0.1,0.125786019,0,0.757575758,1.8,2.377840362,1.2,2.009440208,141371.233,490585446.5
33,01005950400,343319539,397957,Census Tract 9504,Alabama,Barbour County,3850,332,1851,262,1504,250,33,32,14,18,0,12,0,12,37,33,411,170,48.1,5.396466939,39.1,5.551340007,0.9,0.827875745,0.4,0.46647969,0,0.311688312,0,0.311688312,1,0.853127057,10.7,4.318556501,118649.0499,475989241.2
34,01005950500,333715685,9982138,Census Tract 9505,Alabama,Barbour County,3118,406,2121,288,746,272,0,12,0,12,0,12,59,73,54,63,138,138,68,2.619148724,23.9,8.148281923,0,0.384862091,0,0.384862091,0,0.384862091,1.9,2.328243218,1.7,2.007901904,4.4,4.388232779,128893.1832,463782017
35,01005950600,101691408,1097034,Census Tract 9506,Alabama,Barbour County,1994,311,816,176,1111,316,27,41,9,18,0,12,0,12,16,16,15,22,40.9,6.096611067,55.7,13.25243336,1.4,2.045294014,0.5,0.89995903,0,0.601805416,0,0.601805416,0.8,0.792587461,0.8,1.097053765,84066.67963,141708425.4
36,01005950700,127211867,112809,Census Tract 9507,Alabama,Barbour County,1527,263,816,200,609,168,0,12,0,12,0,12,41,65,61,86,0,12,53.4,9.318601284,39.9,8.594169515,0,0.785854617,0,0.785854617,0,0.785854617,2.7,4.231517999,4,5.58977337,0,0.785854617,73920.92193,177344036.1
37,01005950800,14729758,262593,Census Tract 9508,Alabama,Barbour County,2365,329,1072,220,1221,345,0,12,14,28,0,12,28,40,30,33,0,12,45.3,6.839028302,51.6,12.69724584,0,0.507399577,0.6,1.181064918,0,0.507399577,1.2,1.683293745,1.3,1.38414559,0,0.507399577,29003.07154,20503017.15
38,01005950900,16454996,8132155,Census Tract 9509,Alabama,Barbour County,3666,392,1248,237,1861,312,9,14,20,42,0,12,0,12,67,95,461,216,34,5.342594495,50.8,6.554901844,0.2,0.380984308,0.5,1.144176716,0,0.327332242,0,0.327332242,1.8,2.584001046,12.6,5.736497953,44675.58765,22876976.76
39,01007010001,232455317,1777584,Census Tract 100.01,Alabama,Bibb County,1994,414,1866,434,127,129,0,12,0,12,0,12,0,12,0,12,1,3,93.6,9.809309424,6.4,6.33281724,0,0.601805416,0,0.601805416,0,0.601805416,0,0.601805416,0,0.601805416,0.1,0.150090614,117228.7929,333570512.8
40,01009050200,116533491,550320,Census Tract 502,Alabama,Blount County,4372,650,3037,630,35,56,0,12,14,20,0,12,0,12,100,99,1186,345,69.5,10.04918504,0.8,1.275336593,0,0.274473925,0.3,0.454972476,0,0.274473925,0,0.274473925,2.3,2.238730139,27.1,6.782629085,106680.6558,170779069.2
41,01009050601,83641616,353351,Census Tract 506.01,Alabama,Blount County,3750,376,3512,374,21,20,23,29,0,12,0,12,0,12,146,90,48,63,93.7,3.359985385,0.6,0.530369397,0.6,0.770884283,0,0.32,0,0.32,0,0.32,3.9,2.368039284,1.3,1.675090595,60086.35664,121824909.1
42,01011952100,428206383,492358,Census Tract 9521,Alabama,Bullock County,1382,362,35,28,1347,361,0,12,0,12,0,12,0,12,0,12,0,12,2.5,1.914368327,97.5,5.52515519,0,0.868306802,0,0.868306802,0,0.868306802,0,0.868306802,0,0.868306802,0,0.868306802,143940.2851,599275169.2
43,01011952500,786336537,3473512,Census Tract 9525,Alabama,Bullock County,2541,526,1052,313,1113,361,0,12,0,12,0,12,0,12,55,73,321,318,41.4,8.847825875,43.8,10.93734386,0,0.472255018,0,0.472255018,0,0.472255018,0,0.472255018,2.2,2.837729017,12.6,12.23848989,214804.0074,1103079602
44,01013952700,133820608,151787,Census Tract 9527,Alabama,Butler County,2077,369,896,211,1046,284,63,53,0,12,0,12,0,12,0,12,72,141,43.1,6.668164333,50.4,10.33996296,3,2.494207569,0,0.577756379,0,0.577756379,0,0.577756379,0,0.577756379,3.5,6.760644069,63543.93162,186445516.3
45,01013952800,3450119,0,Census Tract 9528,Alabama,Butler County,1307,243,942,214,341,168,0,12,0,12,0,12,0,12,24,35,0,12,72.1,9.408846159,26.1,11.90344387,0,0.918133129,0,0.918133129,0,0.918133129,0,0.918133129,1.8,2.656036566,0,0.918133129,11812.50093,4794665.918
46,01013952900,57438535,0,Census Tract 9529,Alabama,Butler County,2408,377,875,230,1269,359,0,12,165,107,0,12,0,12,58,50,41,55,36.3,7.672435134,52.7,12.41747479,0,0.49833887,6.9,4.312078203,0,0.49833887,0,0.49833887,2.4,2.041882053,1.7,2.268444167,41063.91928,79841163.72
47,01013953000,441481495,272087,Census Tract 9530,Alabama,Butler County,1421,313,838,215,463,222,0,12,0,12,0,12,0,12,89,75,31,51,59,7.758189539,32.6,13.87674121,0,0.844475721,0,0.844475721,0,0.844475721,0,0.844475721,6.3,5.094483967,2.2,3.556707931,119549.0371,614417412.6
48,01013953100,32199894,304743,Census Tract 9531,Alabama,Butler County,2900,459,789,327,2111,378,0,12,0,12,0,12,0,12,0,12,0,12,27.2,10.42121634,72.8,6.095513562,0,0.413793103,0,0.413793103,0,0.413793103,0,0.413793103,0,0.413793103,0,0.413793103,44887.36328,45132203.41
49,01013953200,478685875,1427644,Census Tract 9532,Alabama,Butler County,3550,517,1929,280,1590,445,0,12,0,12,0,12,0,12,0,12,31,54,54.3,11.17285228,44.8,10.70444811,0,0.338028169,0,0.338028169,0,0.338028169,0,0.338028169,0,0.338028169,0.9,1.515801308,136743.6323,666361864.4
50,01013953300,352261685,177369,Census Tract 9533,Alabama,Butler County,1934,274,1770,271,118,90,0,12,0,12,0,12,0,12,19,29,27,48,91.5,5.312879829,6.1,4.572580075,0,0.620475698,0,0.620475698,0,0.620475698,0,0.620475698,1,1.493009284,1.4,2.474009118,111746.3558,488541428.8
51,01013953400,249002007,131272,Census Tract 9534,Alabama,Butler County,2681,467,1120,237,1365,376,0,12,96,124,0,12,0,12,12,17,88,111,41.8,5.019294171,50.9,10.86450791,0,0.447594181,3.6,4.582890309,0,0.447594181,0,0.447594181,0.4,0.629280287,3.3,4.100578095,93531.59043,344508958.9
52,01013953500,263662328,236297,Census Tract 9535,Alabama,Butler County,1448,199,966,189,470,185,3,4,0,12,0,12,0,12,9,10,0,12,66.7,9.290210997,32.5,11.97219921,0.2,0.27477176,0,0.828729282,0,0.828729282,0,0.828729282,0.6,0.68530468,0,0.828729282,85588.78038,364717764.5
53,01015000200,6809436,0,Census Tract 2,Alabama,Calhoun County,2376,494,647,228,1479,477,10,16,25,44,0,12,0,12,9,19,206,162,27.2,7.747828591,62.2,15.34731308,0.4,0.667691021,1.1,1.838884984,0,0.505050505,0,0.505050505,0.4,0.795775777,8.7,6.575576603,17014.19231,9857694.602
54,01015000300,2620905,45573,Census Tract 3,Alabama,Calhoun County,2390,448,494,221,1865,416,15,23,0,12,0,12,0,12,0,12,16,33,20.7,8.396020179,78,9.434460927,0.6,0.955125065,0,0.50209205,0,0.50209205,0,0.50209205,0,0.50209205,0.7,1.375038905,8899.056115,3860371.725
55,01015000400,10117652,11073,Census Tract 4,Alabama,Calhoun County,3290,667,1136,424,2065,519,2,5,15,21,0,12,0,12,56,51,16,31,34.5,10.82060081,62.8,9.323634175,0.1,0.151475143,0.5,0.631569777,0,0.364741641,0,0.364741641,1.7,1.511254344,0.5,0.937076675,19994.58154,14664060.53
56,01015000500,2337680,0,Census Tract 5,Alabama,Calhoun County,941,248,42,39,850,237,0,12,0,12,0,12,0,12,49,43,0,12,4.5,3.9740911,90.3,8.22159962,0,1.275239107,0,1.275239107,0,1.275239107,0,1.275239107,5.2,4.35866153,0,1.275239107,8844.022972,3383284.816
57,01015000600,6875371,649,Census Tract 6,Alabama,Calhoun County,1957,358,484,226,1300,293,0,12,4,8,0,12,0,12,108,66,61,88,24.7,10.62516394,66.4,8.745777343,0,0.613183444,0.2,0.407075381,0,0.613183444,0,0.613183444,5.5,3.217862341,3.1,4.460379391,17115.38791,9947010.78
58,01015000700,45786029,107461,Census Tract 7,Alabama,Calhoun County,2585,380,929,268,1361,387,0,12,10,22,0,12,0,12,176,146,109,76,35.9,8.920503088,52.6,12.81516465,0,0.464216634,0.4,0.849161795,0,0.464216634,0,0.464216634,6.8,5.558581222,4.2,2.873953585,47591.92453,66490939.26
59,01015000800,3645890,0,Census Tract 8,Alabama,Calhoun County,1223,367,342,129,591,172,0,12,1,4,0,12,0,12,37,47,252,294,28,6.390588707,48.3,20.20077808,0,0.981193786,0.1,0.326142926,0,0.981193786,0,0.981193786,3,3.734236677,20.6,23.23044124,15252.76154,5274527.19
60,01015000900,12118827,23502,Census Tract 9,Alabama,Calhoun County,3724,496,3098,507,572,176,7,11,9,19,0,12,0,12,12,16,26,31,83.2,7.910944776,15.4,4.260378561,0.2,0.294318417,0.2,0.509187672,0,0.322234157,0,0.322234157,0.3,0.427496553,0.7,0.827228084,21934.33668,17567392.51
61,01015001000,16676587,14186,Census Tract 10,Alabama,Calhoun County,5976,571,3683,517,1598,417,0,17,334,248,0,17,0,17,91,95,270,239,61.6,6.337835533,26.7,6.493319788,0,0.284471218,5.6,4.115429747,0,0.284471218,0,0.284471218,1.5,1.583019703,4.5,3.97596324,24892.90344,24138213
62,01015001201,7320502,3705,Census Tract 12.01,Alabama,Calhoun County,2987,554,1866,450,1049,292,0,12,0,12,0,12,0,12,32,28,40,50,62.5,9.628944617,35.1,7.28961233,0,0.401740877,0,0.401740877,0,0.401740877,0,0.401740877,1.1,0.916094955,1.3,1.655391656,15951.0605,10587525.48
63,01015001202,23530433,55597,Census Tract 12.02,Alabama,Calhoun County,4016,469,2471,454,483,123,0,12,0,12,0,12,0,12,75,67,987,376,61.5,8.727335125,12,2.721711392,0,0.298804781,0,0.298804781,0,0.298804781,0,0.298804781,1.9,1.654009767,24.6,8.911770526,44458.01646,34093501.49
64,01015001300,5764150,3109,Census Tract 13,Alabama,Calhoun County,2215,484,1836,435,40,65,2,4,0,12,0,12,0,12,258,251,79,75,82.9,7.591617314,1.8,2.907885676,0.1,0.179505868,0,0.541760722,0,0.541760722,0,0.541760722,11.6,11.04230145,3.6,3.295096548,16204.19827,8343291.06
65,01015001400,21106193,35478,Census Tract 14,Alabama,Calhoun County,2887,459,2194,335,662,296,0,12,0,12,0,12,0,12,0,12,31,48,76,16.75210121,22.9,9.582807267,0,0.415656391,0,0.415656391,0,0.415656391,0,0.415656391,0,0.415656391,1.1,1.653837636,31711.46596,30597188.81
66,01015001600,14082590,32369,Census Tract 16,Alabama,Calhoun County,3533,571,2520,568,630,197,0,12,0,12,0,12,0,12,111,80,272,251,71.3,11.20614042,17.8,4.773468598,0,0.339654684,0,0.339654684,0,0.339654684,0,0.339654684,3.1,2.206696815,7.7,6.994633081,22753.08299,20448185.02
67,01015001700,18682294,89808,Census Tract 17,Alabama,Calhoun County,6002,774,3270,489,2053,735,13,21,153,135,0,17,131,202,188,181,194,213,54.5,4.125064756,34.2,11.42390079,0.2,0.348766702,2.5,2.225098367,0,0.28323892,2.2,3.353754744,3.1,2.988486904,3.2,3.524253381,25072.94949,27209638.25
68,01015002101,13690930,23910,Census Tract 21.01,Alabama,Calhoun County,3238,377,2193,341,908,252,0,12,1,6,17,24,0,12,98,112,21,18,67.7,6.980382469,28,7.064618185,0,0.370599135,0,0.185264677,0.5,0.738673342,0,0.370599135,3,3.440928782,0.6,0.55074635,25045.05346,19929921.59
69,01015002102,20727868,796,Census Tract 21.02,Alabama,Calhoun County,3633,552,2766,600,703,382,0,12,2,3,0,12,0,12,130,102,32,31,76.1,11.78704357,19.4,10.09530671,0,0.330305533,0.1,0.082151657,0,0.330305533,0,0.330305533,3.6,2.754451281,0.9,0.842728754,27480.15392,30120786.11
70,01015002200,87901908,514323,Census Tract 22,Alabama,Calhoun County,3475,477,3185,492,83,104,0,12,12,21,0,12,0,12,68,61,127,114,91.7,6.494068948,2.4,2.974793252,0,0.345323741,0.3,0.602454652,0,0.345323741,0,0.345323741,2,1.734723082,3.7,3.241991615,67090.78522,128663942.9
71,01015002300,88508123,506652,Census Tract 23,Alabama,Calhoun County,3265,503,2454,456,608,315,12,21,0,12,0,12,0,12,42,40,149,170,75.2,7.809058547,18.6,9.211376061,0.4,0.640688155,0,0.367534456,0,0.367534456,0,0.367534456,1.3,1.208980028,4.6,5.159054067,57653.05172,129642908.5
72,01015002400,124531002,465375,Census Tract 24,Alabama,Calhoun County,4640,629,4169,553,128,121,0,12,0,12,0,12,7,15,243,142,93,96,89.8,17.04092443,2.8,2.580805933,0,0.25862069,0,0.25862069,0,0.25862069,0.2,0.322628336,5.2,2.976860302,2,2.051047221,94458.7002,181790459
73,01015002502,164020226,1007088,Census Tract 25.02,Alabama,Calhoun County,4373,519,4200,516,92,69,15,16,15,23,0,12,10,16,39,52,2,5,96,3.049699157,2.1,1.557983198,0.3,0.363609698,0.3,0.524376846,0,0.274411159,0.2,0.364873582,0.9,1.184394883,0,0.114209069,101548.3368,239862811.8
74,01015002600,177689343,7530977,Census Tract 26,Alabama,Calhoun County,4788,825,4469,849,56,48,12,14,0,12,0,12,0,12,87,92,164,198,93.3,7.467800481,1.2,0.982041545,0.3,0.289191112,0,0.250626566,0,0.250626566,0,0.250626566,1.8,1.895791355,3.4,4.093006565,236551.6071,259658985.3
75,01015981901,63126897,137514,Census Tract 9819.01,Alabama,Calhoun County,7,13,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,100,262.6396616,0,171.4285714,0,171.4285714,0,171.4285714,0,171.4285714,0,171.4285714,0,171.4285714,0,171.4285714,41118.27537,91540895.89
76,01015981902,89734585,294152,Census Tract 9819.02,Alabama,Calhoun County,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,79285.51794,130143279.5
77,01015981903,36029495,1072,Census Tract 9819.03,Alabama,Calhoun County,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,41186.39345,52194219.49
78,01017953800,515692207,11516898,Census Tract 9538,Alabama,Chambers County,3857,493,2797,424,1032,400,26,32,0,12,0,12,1,2,1,2,0,12,72.5,5.910061199,26.8,9.790611928,0.7,0.825174067,0,0.311122634,0,0.311122634,0,0.051747767,0,0.051747767,0,0.311122634,264255.7357,739436818.4
79,01017953900,98363459,2360152,Census Tract 9539,Alabama,Chambers County,3149,418,1145,221,1627,410,0,12,0,12,0,12,0,12,42,63,335,223,36.4,5.094918586,51.7,11.06724201,0,0.381073357,0,0.381073357,0,0.381073357,0,0.381073357,1.3,1.992786103,10.6,6.939389349,70186.38161,140259484.6
80,01017954200,62998696,34641,Census Tract 9542,Alabama,Chambers County,3512,436,2756,417,544,207,0,12,115,107,0,12,0,12,65,69,32,49,78.5,6.787599564,15.5,5.571558985,0,0.341685649,3.3,3.019455143,0,0.341685649,0,0.341685649,1.9,1.951210626,0.9,1.390623376,45455.45796,89546651.17
81,01017954300,132642536,178276,Census Tract 9543,Alabama,Chambers County,5312,649,2591,413,2401,490,15,27,164,120,0,17,50,74,52,54,39,50,48.8,4.993486517,45.2,7.388748972,0.3,0.507110924,3.1,2.227322156,0,0.32003012,0.9,1.388317456,1,1.009506198,0.7,0.936981215,75237.44778,188412534.3
82,01017954600,9696363,0,Census Tract 9546,Alabama,Chambers County,2984,456,2103,389,744,242,2,3,0,12,0,12,0,12,0,12,135,123,70.5,7.345362931,24.9,7.159167665,0.1,0.100013107,0,0.402144772,0,0.402144772,0,0.402144772,0,0.402144772,4.5,4.063592001,19720.43879,13772897.59
83,01017954700,38036820,264376,Census Tract 9547,Alabama,Chambers County,4073,458,2946,351,1025,285,20,32,46,109,0,12,0,12,36,46,0,12,72.3,2.848481405,25.2,6.399550998,0.5,0.783718978,1.1,2.673145049,0,0.294623128,0,0.294623128,0.9,1.125006901,0,0.294623128,38721.34469,53949324.14
